Year,Gender,Series,mean,ci_lower,ci_upper
1988,Female,Mean co-authored papers,1.76,1.47,2.11
1988,Female,Mean repeat co-authors,0.4,0.26,0.56
1988,Male,Authors (000s),0.78,0.78,0.78
1988,Male,Mean co-authors (degree),2.51,2.34,2.71
1988,Male,Mean co-authored papers,3.16,2.84,3.5
1988,Male,Mean repeat co-authors,0.76,0.68,0.85
1988,Unknown,Authors (000s),0.01,0.01,0.01
1988,Unknown,Mean co-authors (degree),1.5,1.17,1.83
1988,Unknown,Mean co-authored papers,1.5,1.16,1.83
1988,Unknown,Mean repeat co-authors,0.5,0.16,0.83
1989,Any,Authors (000s),1,1,1
1989,Any,Mean co-authors (degree),2.5,2.31,2.69
1989,Any,Mean co-authored papers,3.1,2.8,3.4
1989,Any,Mean repeat co-authors,0.73,0.66,0.83
1989,Female,Authors (000s),0.12,0.12,0.12
1989,Female,Mean co-authors (degree),1.83,1.63,2.12
1989,Female,Mean co-authored papers,1.88,1.6,2.25
1989,Female,Mean repeat co-authors,0.48,0.34,0.64
1989,Male,Authors (000s),0.86,0.86,0.86
1989,Male,Mean co-authors (degree),2.6,2.44,2.81
1989,Male,Mean co-authored papers,3.29,3,3.58
1989,Male,Mean repeat co-authors,0.78,0.68,0.87
1989,Unknown,Authors (000s),0.01,0.01,0.01
1989,Unknown,Mean co-authors (degree),1.4,1.1,1.7
1989,Unknown,Mean co-authored papers,1.3,1,1.6
1989,Unknown,Mean repeat co-authors,0.3,0,0.6
1990,Any,Authors (000s),1.09,1.09,1.09
1990,Any,Mean co-authors (degree),2.56,2.43,2.74
1990,Any,Mean co-authored papers,3.17,2.94,3.42
1990,Any,Mean repeat co-authors,0.76,0.7,0.84
1990,Female,Authors (000s),0.14,0.14,0.14
1990,Female,Mean co-authors (degree),1.87,1.65,2.1
1990,Female,Mean co-authored papers,1.91,1.62,2.23
1990,Female,Mean repeat co-authors,0.48,0.34,0.62
1990,Male,Authors (000s),0.94,0.94,0.94
1990,Male,Mean co-authors (degree),2.68,2.51,2.86
1990,Male,Mean co-authored papers,3.38,3.11,3.65
1990,Male,Mean repeat co-authors,0.8,0.71,0.9
1990,Unknown,Authors (000s),0.01,0.01,0.01
1990,Unknown,Mean co-authors (degree),1.5,1.14,1.79
1990,Unknown,Mean co-authored papers,1.36,1,1.72
1990,Unknown,Mean repeat co-authors,0.5,0.14,0.93
1991,Any,Authors (000s),1.2,1.2,1.2
1991,Any,Mean co-authors (degree),2.64,2.49,2.82
1991,Any,Mean co-authored papers,3.21,2.97,3.5
1991,Any,Mean repeat co-authors,0.78,0.7,0.87
1991,Female,Authors (000s),0.15,0.15,0.15
1991,Female,Mean co-authors (degree),1.99,1.76,2.2
1991,Female,Mean co-authored papers,2,1.73,2.3
1991,Female,Mean repeat co-authors,0.54,0.39,0.67
1991,Male,Authors (000s),1.03,1.03,1.03
1991,Male,Mean co-authors (degree),2.75,2.6,2.97
1991,Male,Mean co-authored papers,3.41,3.15,3.75
1991,Male,Mean repeat co-authors,0.82,0.74,0.92
1991,Unknown,Authors (000s),0.01,0.01,0.01
1991,Unknown,Mean co-authors (degree),1.47,1.2,1.73
1991,Unknown,Mean co-authored papers,1.53,1.13,1.87
1991,Unknown,Mean repeat co-authors,0.6,0.2,0.93
1992,Any,Authors (000s),1.27,1.27,1.27
1992,Any,Mean co-authors (degree),2.66,2.5,2.81
1992,Any,Mean co-authored papers,3.19,2.94,3.45
1992,Any,Mean repeat co-authors,0.75,0.67,0.82
1992,Female,Authors (000s),0.17,0.17,0.17
1992,Female,Mean co-authors (degree),2.08,1.89,2.29
1992,Female,Mean co-authored papers,2.1,1.83,2.41
1992,Female,Mean repeat co-authors,0.56,0.42,0.71
1992,Male,Authors (000s),1.09,1.09,1.09
1992,Male,Mean co-authors (degree),2.76,2.62,2.95
1992,Male,Mean co-authored papers,3.39,3.13,3.69
1992,Male,Mean repeat co-authors,0.79,0.72,0.88
1992,Unknown,Authors (000s),0.01,0.01,0.01
1992,Unknown,Mean co-authors (degree),1.47,1.2,1.73
1992,Unknown,Mean co-authored papers,1.53,1.13,1.87
1992,Unknown,Mean repeat co-authors,0.6,0.2,0.93
1993,Any,Authors (000s),1.36,1.36,1.36
1993,Any,Mean co-authors (degree),2.7,2.56,2.85
1993,Any,Mean co-authored papers,3.23,3.02,3.46
1993,Any,Mean repeat co-authors,0.77,0.7,0.84
1993,Female,Authors (000s),0.19,0.19,0.19
1993,Female,Mean co-authors (degree),2.12,1.9,2.36
1993,Female,Mean co-authored papers,2.17,1.9,2.43
1993,Female,Mean repeat co-authors,0.58,0.45,0.73
1993,Male,Authors (000s),1.16,1.16,1.16
1993,Male,Mean co-authors (degree),2.81,2.65,2.98
1993,Male,Mean co-authored papers,3.43,3.19,3.72
1993,Male,Mean repeat co-authors,0.8,0.73,0.89
1993,Unknown,Authors (000s),0.01,0.01,0.01
1993,Unknown,Mean co-authors (degree),1.46,1.15,1.77
1993,Unknown,Mean co-authored papers,1.54,1,2.23
1993,Unknown,Mean repeat co-authors,0.54,0.15,1.08
1994,Any,Authors (000s),1.49,1.49,1.49
1994,Any,Mean co-authors (degree),2.68,2.52,2.84
1994,Any,Mean co-authored papers,3.19,2.99,3.44
1994,Any,Mean repeat co-authors,0.77,0.7,0.84
1994,Female,Authors (000s),0.22,0.22,0.22
1994,Female,Mean co-authors (degree),2.14,1.95,2.34
1994,Female,Mean co-authored papers,2.21,1.94,2.43
1994,Female,Mean repeat co-authors,0.59,0.46,0.7
1994,Male,Authors (000s),1.25,1.25,1.25
1994,Male,Mean co-authors (degree),2.79,2.63,2.96
1994,Male,Mean co-authored papers,3.38,3.12,3.65
1994,Male,Mean repeat co-authors,0.8,0.72,0.88
1994,Unknown,Authors (000s),0.01,0.01,0.01
1994,Unknown,Mean co-authors (degree),1.46,1.15,1.77
1994,Unknown,Mean co-authored papers,1.54,1,2.23
1994,Unknown,Mean repeat co-authors,0.54,0.15,1.08
1995,Any,Authors (000s),1.62,1.62,1.62
1995,Any,Mean co-authors (degree),2.74,2.61,2.9
1995,Any,Mean co-authored papers,3.19,3.02,3.44
1995,Any,Mean repeat co-authors,0.77,0.71,0.84
1995,Female,Authors (000s),0.26,0.26,0.26
1995,Female,Mean co-authors (degree),2.17,1.97,2.36
1995,Female,Mean co-authored papers,2.18,1.92,2.41
1995,Female,Mean repeat co-authors,0.57,0.45,0.67
1995,Male,Authors (000s),1.35,1.35,1.35
1995,Male,Mean co-authors (degree),2.86,2.71,3.06
1995,Male,Mean co-authored papers,3.4,3.15,3.74
1995,Male,Mean repeat co-authors,0.81,0.74,0.9
1995,Unknown,Authors (000s),0.01,0.01,0.01
1995,Unknown,Mean co-authors (degree),1.57,1.14,1.93
1995,Unknown,Mean co-authored papers,1.57,0.93,2.14
1995,Unknown,Mean repeat co-authors,0.5,0.14,0.93
1996,Any,Authors (000s),1.79,1.79,1.79
1996,Any,Mean co-authors (degree),2.72,2.62,2.87
1996,Any,Mean co-authored papers,3.11,2.95,3.37
1996,Any,Mean repeat co-authors,0.74,0.69,0.82
1996,Female,Authors (000s),0.29,0.29,0.29
1996,Female,Mean co-authors (degree),2.18,1.98,2.37
1996,Female,Mean co-authored papers,2.18,1.93,2.45
1996,Female,Mean repeat co-authors,0.52,0.39,0.62
1996,Male,Authors (000s),1.48,1.48,1.48
1996,Male,Mean co-authors (degree),2.84,2.69,3
1996,Male,Mean co-authored papers,3.31,3.09,3.53
1996,Male,Mean repeat co-authors,0.79,0.71,0.86
1996,Unknown,Authors (000s),0.02,0.02,0.02
1996,Unknown,Mean co-authors (degree),1.56,1.25,1.88
1996,Unknown,Mean co-authored papers,1.5,1.06,2.06
1996,Unknown,Mean repeat co-authors,0.44,0.12,0.94
1997,Any,Authors (000s),1.94,1.94,1.94
1997,Any,Mean co-authors (degree),2.75,2.62,2.88
1997,Any,Mean co-authored papers,3.07,2.87,3.24
1997,Any,Mean repeat co-authors,0.72,0.66,0.78
1997,Female,Authors (000s),0.32,0.32,0.32
1997,Female,Mean co-authors (degree),2.25,2.03,2.43
1997,Female,Mean co-authored papers,2.19,1.87,2.48
1997,Female,Mean repeat co-authors,0.5,0.38,0.6
1997,Male,Authors (000s),1.6,1.6,1.6
1997,Male,Mean co-authors (degree),2.87,2.74,3.01
1997,Male,Mean co-authored papers,3.26,3.05,3.48
1997,Male,Mean repeat co-authors,0.77,0.71,0.84
1997,Unknown,Authors (000s),0.02,0.02,0.02
1997,Unknown,Mean co-authors (degree),1.53,1.18,1.88
1997,Unknown,Mean co-authored papers,1.59,1.06,2.12
1997,Unknown,Mean repeat co-authors,0.59,0.24,1
1998,Any,Authors (000s),2.14,2.14,2.14
1998,Any,Mean co-authors (degree),2.78,2.65,2.9
1998,Any,Mean co-authored papers,3,2.82,3.18
1998,Any,Mean repeat co-authors,0.7,0.65,0.77
1998,Female,Authors (000s),0.37,0.37,0.37
1998,Female,Mean co-authors (degree),2.23,2.05,2.43
1998,Female,Mean co-authored papers,2.13,1.86,2.38
1998,Female,Mean repeat co-authors,0.45,0.36,0.54
1998,Male,Authors (000s),1.76,1.76,1.76
1998,Male,Mean co-authors (degree),2.9,2.76,3.06
1998,Male,Mean co-authored papers,3.2,2.99,3.42
1998,Male,Mean repeat co-authors,0.76,0.7,0.82
1998,Unknown,Authors (000s),0.02,0.02,0.02
1998,Unknown,Mean co-authors (degree),1.59,1.29,1.94
1998,Unknown,Mean co-authored papers,1.53,1.18,2.06
1998,Unknown,Mean repeat co-authors,0.59,0.24,1.06
1999,Any,Authors (000s),2.3,2.3,2.3
1999,Any,Mean co-authors (degree),2.79,2.68,2.92
1999,Any,Mean co-authored papers,3,2.85,3.18
1999,Any,Mean repeat co-authors,0.7,0.65,0.75
1999,Female,Authors (000s),0.4,0.4,0.4
1999,Female,Mean co-authors (degree),2.26,2.1,2.43
1999,Female,Mean co-authored papers,2.12,1.86,2.34
1999,Female,Mean repeat co-authors,0.45,0.35,0.53
1999,Male,Authors (000s),1.88,1.88,1.88
1999,Male,Mean co-authors (degree),2.92,2.79,3.06
1999,Male,Mean co-authored papers,3.2,2.99,3.43
1999,Male,Mean repeat co-authors,0.76,0.69,0.82
1999,Unknown,Authors (000s),0.02,0.02,0.02
1999,Unknown,Mean co-authors (degree),1.76,1.29,2.12
1999,Unknown,Mean co-authored papers,1.47,1.06,2
1999,Unknown,Mean repeat co-authors,0.59,0.29,1
2000,Any,Authors (000s),2.48,2.48,2.48
2000,Any,Mean co-authors (degree),2.87,2.73,2.99
2000,Any,Mean co-authored papers,3.02,2.84,3.19
2000,Any,Mean repeat co-authors,0.71,0.66,0.77
2000,Female,Authors (000s),0.45,0.45,0.45
2000,Female,Mean co-authors (degree),2.35,2.18,2.53
2000,Female,Mean co-authored papers,2.15,1.93,2.38
2000,Female,Mean repeat co-authors,0.48,0.41,0.56
2000,Male,Authors (000s),2.01,2.01,2.01
2000,Male,Mean co-authors (degree),2.99,2.84,3.13
2000,Male,Mean co-authored papers,3.22,3.05,3.42
2000,Male,Mean repeat co-authors,0.77,0.71,0.83
2000,Unknown,Authors (000s),0.02,0.02,0.02
2000,Unknown,Mean co-authors (degree),1.94,1.62,2.25
2000,Unknown,Mean co-authored papers,1.38,1.12,1.69
2000,Unknown,Mean repeat co-authors,0.31,0.06,0.69
2001,Any,Authors (000s),2.67,2.67,2.67
2001,Any,Mean co-authors (degree),2.89,2.78,3
2001,Any,Mean co-authored papers,3.01,2.86,3.16
2001,Any,Mean repeat co-authors,0.7,0.66,0.76
2001,Female,Authors (000s),0.49,0.49,0.49
2001,Female,Mean co-authors (degree),2.36,2.16,2.54
2001,Female,Mean co-authored papers,2.16,1.92,2.4
2001,Female,Mean repeat co-authors,0.46,0.38,0.53
2001,Male,Authors (000s),2.16,2.16,2.16
2001,Male,Mean co-authors (degree),3.02,2.87,3.14
