Year,Gender,Series,mean,ci_lower,ci_upper
2013,Any,Authors (000s),6.77,6.77,6.77
2013,Any,Mean co-authors (degree),3.87,3.76,3.97
2013,Any,Mean co-authored papers,3.02,2.9,3.12
2013,Any,Mean repeat co-authors,0.88,0.84,0.92
2013,Female,Authors (000s),1.61,1.61,1.61
2013,Female,Mean co-authors (degree),3.46,3.3,3.64
2013,Female,Mean co-authored papers,2.44,2.28,2.6
2013,Female,Mean repeat co-authors,0.68,0.61,0.73
2013,Male,Authors (000s),5.09,5.09,5.09
2013,Male,Mean co-authors (degree),4.02,3.87,4.15
2013,Male,Mean co-authored papers,3.23,3.08,3.36
2013,Male,Mean repeat co-authors,0.96,0.9,1.01
2013,Unknown,Authors (000s),0.06,0.06,0.06
2013,Unknown,Mean co-authors (degree),2.03,1.8,2.31
2013,Unknown,Mean co-authored papers,1.09,1.03,1.17
2013,Unknown,Mean repeat co-authors,0.06,0.02,0.12
2014,Any,Authors (000s),7.19,7.19,7.19
2014,Any,Mean co-authors (degree),3.94,3.85,4.04
2014,Any,Mean co-authored papers,2.97,2.88,3.08
2014,Any,Mean repeat co-authors,0.88,0.84,0.92
2014,Female,Authors (000s),1.74,1.74,1.74
2014,Female,Mean co-authors (degree),3.49,3.33,3.67
2014,Female,Mean co-authored papers,2.4,2.25,2.57
2014,Female,Mean repeat co-authors,0.68,0.62,0.75
2014,Male,Authors (000s),5.38,5.38,5.38
2014,Male,Mean co-authors (degree),4.11,3.97,4.23
2014,Male,Mean co-authored papers,3.18,3.05,3.31
2014,Male,Mean repeat co-authors,0.95,0.89,1
2014,Unknown,Authors (000s),0.06,0.06,0.06
2014,Unknown,Mean co-authors (degree),2.16,1.89,2.48
2014,Unknown,Mean co-authored papers,1.11,1.03,1.21
2014,Unknown,Mean repeat co-authors,0.08,0.02,0.16
2015,Any,Authors (000s),7.52,7.52,7.52
2015,Any,Mean co-authors (degree),4.07,3.97,4.18
2015,Any,Mean co-authored papers,2.96,2.86,3.05
2015,Any,Mean repeat co-authors,0.89,0.86,0.94
2015,Female,Authors (000s),1.84,1.84,1.84
2015,Female,Mean co-authors (degree),3.6,3.42,3.78
2015,Female,Mean co-authored papers,2.39,2.24,2.55
2015,Female,Mean repeat co-authors,0.69,0.62,0.76
2015,Male,Authors (000s),5.62,5.62,5.62
2015,Male,Mean co-authors (degree),4.24,4.13,4.39
2015,Male,Mean co-authored papers,3.16,3.04,3.27
2015,Male,Mean repeat co-authors,0.97,0.92,1.02
2015,Unknown,Authors (000s),0.06,0.06,0.06
2015,Unknown,Mean co-authors (degree),2.25,1.91,2.53
2015,Unknown,Mean co-authored papers,1.16,1.05,1.3
2015,Unknown,Mean repeat co-authors,0.11,0.04,0.19
2016,Any,Authors (000s),7.89,7.89,7.89
2016,Any,Mean co-authors (degree),4.18,4.07,4.28
2016,Any,Mean co-authored papers,2.96,2.87,3.06
2016,Any,Mean repeat co-authors,0.93,0.89,0.97
2016,Female,Authors (000s),1.95,1.95,1.95
2016,Female,Mean co-authors (degree),3.68,3.54,3.84
2016,Female,Mean co-authored papers,2.4,2.26,2.56
2016,Female,Mean repeat co-authors,0.7,0.64,0.77
2016,Male,Authors (000s),5.89,5.89,5.89
2016,Male,Mean co-authors (degree),4.36,4.23,4.49
2016,Male,Mean co-authored papers,3.17,3.03,3.28
2016,Male,Mean repeat co-authors,1.01,0.96,1.06
2016,Unknown,Authors (000s),0.05,0.05,0.05
2016,Unknown,Mean co-authors (degree),2.3,2.04,2.59
2016,Unknown,Mean co-authored papers,1.13,1.02,1.3
2016,Unknown,Mean repeat co-authors,0.09,0.02,0.19
2017,Any,Authors (000s),8.43,8.43,8.43
2017,Any,Mean co-authors (degree),4.31,4.21,4.42
2017,Any,Mean co-authored papers,2.92,2.83,3.01
2017,Any,Mean repeat co-authors,0.93,0.89,0.97
2017,Female,Authors (000s),2.11,2.11,2.11
2017,Female,Mean co-authors (degree),3.83,3.69,4.03
2017,Female,Mean co-authored papers,2.36,2.22,2.53
2017,Female,Mean repeat co-authors,0.7,0.64,0.77
2017,Male,Authors (000s),6.26,6.26,6.26
2017,Male,Mean co-authors (degree),4.48,4.38,4.6
2017,Male,Mean co-authored papers,3.12,3.01,3.24
2017,Male,Mean repeat co-authors,1.01,0.97,1.06
2017,Unknown,Authors (000s),0.06,0.06,0.06
2017,Unknown,Mean co-authors (degree),2.5,2.21,2.79
2017,Unknown,Mean co-authored papers,1.14,1.04,1.25
2017,Unknown,Mean repeat co-authors,0.11,0.02,0.2
2018,Any,Authors (000s),8.97,8.97,8.97
2018,Any,Mean co-authors (degree),4.39,4.29,4.51
2018,Any,Mean co-authored papers,2.89,2.81,2.98
2018,Any,Mean repeat co-authors,0.93,0.89,0.96
2018,Female,Authors (000s),2.29,2.29,2.29
2018,Female,Mean co-authors (degree),3.88,3.76,4.04
2018,Female,Mean co-authored papers,2.33,2.23,2.46
2018,Female,Mean repeat co-authors,0.71,0.65,0.77
2018,Male,Authors (000s),6.61,6.61,6.61
2018,Male,Mean co-authors (degree),4.59,4.43,4.73
2018,Male,Mean co-authored papers,3.11,2.98,3.21
2018,Male,Mean repeat co-authors,1.01,0.96,1.05
2018,Unknown,Authors (000s),0.06,0.06,0.06
2018,Unknown,Mean co-authors (degree),2.65,2.35,2.93
2018,Unknown,Mean co-authored papers,1.17,1.05,1.32
2018,Unknown,Mean repeat co-authors,0.13,0.03,0.25
2019,Any,Authors (000s),9.54,9.54,9.54
2019,Any,Mean co-authors (degree),4.5,4.4,4.61
2019,Any,Mean co-authored papers,2.84,2.76,2.92
2019,Any,Mean repeat co-authors,0.91,0.88,0.95
2019,Female,Authors (000s),2.48,2.48,2.48
2019,Female,Mean co-authors (degree),4.02,3.87,4.18
2019,Female,Mean co-authored papers,2.31,2.19,2.42
2019,Female,Mean repeat co-authors,0.71,0.65,0.76
2019,Male,Authors (000s),7,7,7
2019,Male,Mean co-authors (degree),4.69,4.57,4.81
2019,Male,Mean co-authored papers,3.04,2.94,3.14
2019,Male,Mean repeat co-authors,1,0.95,1.04
2019,Unknown,Authors (000s),0.07,0.07,0.07
2019,Unknown,Mean co-authors (degree),2.88,2.51,3.31
2019,Unknown,Mean co-authored papers,1.18,1.06,1.31
2019,Unknown,Mean repeat co-authors,0.19,0.06,0.37
